# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0007     0.0363     0.0000    
EEhighR9smear       0.0001     0.0137     0.0000    

diphotonCat=11
proc=wh
EBlowR9scale        0.0008     0.0040     0.0023    
EBlowR9smear        0.0000     0.0014     0.0000    
EBhighR9scale       0.0016     0.0144     0.0024    
EBhighR9smear       0.0000     0.0047     0.0009    
EElowR9scale        0.0001     0.0011     0.0000    
EElowR9smear        0.0000     0.0027     0.0000    
EEhighR9scale       0.0011     0.0175     0.0011    
EEhighR9smear       0.0001     0.0192     0.0008    

diphotonCat=11
proc=zh
EBlowR9scale        0.0009     0.0078     0.0007    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0016     0.0047     0.0006    
EBhighR9smear       0.0000     0.0042     0.0003    
EElowR9scale        0.0001     0.0069     0.0000    
EElowR9smear        0.0000     0.0036     0.0000    
EEhighR9scale       0.0009     0.0226     0.0008    
EEhighR9smear       0.0001     0.0125     0.0013    

diphotonCat=11
proc=tth
EBlowR9scale        0.0008     0.0054     0.0010    
EBlowR9smear        0.0000     0.0010     0.0000    
EBhighR9scale       0.0017     0.0310     0.0012    
EBhighR9smear       0.0000     0.0070     0.0000    
EElowR9scale        0.0001     0.0005     0.0001    
EElowR9smear        0.0000     0.0012     0.0001    
EEhighR9scale       0.0006     0.0095     0.0009    
EEhighR9smear       0.0000     0.0162     0.0008    

diphotonCat=12
proc=ggh
EBlowR9scale        0.0000     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0000     0.0000     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=12
proc=vbf
EBlowR9scale        0.0000     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0000     0.0000     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=12
proc=wh
EBlowR9scale        0.0003     0.0000     0.0000    
EBlowR9smear        0.0001     0.0000     0.0000    
EBhighR9scale       0.0027     0.1515     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0001     0.0182     0.0000    
EElowR9smear        0.0001     0.0182     0.0000    
EEhighR9scale       0.0004     0.1095     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=12
proc=zh
